Id,Time[ns],0:UART: RX/TX
790,10581991200.00,o
791,10582078000.00,r
792,10582164600.00,a
793,10582251200.00,g
794,10582338000.00,e
795,10582424600.00,[20]
796,10582511400.00,D
797,10582598000.00,e
798,10582684600.00,v
799,10582771400.00,i
800,10582858000.00,c
801,10582944600.00,e
802,10583031400.00,(
803,10583118000.00,s
804,10583204800.00,)
805,10583291400.00,[20]
806,10583378000.00,f
807,10583464800.00,o
808,10583551400.00,u
809,10583638000.00,n
810,10583724800.00,d
811,10583811400.00,[0D]
812,10583898200.00,[0A]
813,10583984800.00,D
814,10584071400.00,E
815,10584158200.00,B
816,10584244800.00,U
817,10584331600.00,G
818,10584418200.00,:
819,10584504800.00,[20]
820,10584591600.00,B
821,10584678200.00,o
822,10584764800.00,o
823,10584851600.00,t
824,10584938200.00,E
825,10585025000.00,n
826,10585111600.00,v
827,10585198200.00,[20]
828,10585285000.00,b
829,10585371600.00,o
830,10585458400.00,o
831,10585545000.00,t
832,10585631600.00,d
833,10585718400.00,e
834,10585805000.00,l
835,10585891600.00,a
836,10585978400.00,y
837,10586065000.00,[20]
838,10586151800.00,=
839,10586238400.00,[20]
840,10586325000.00,0
841,10586411800.00,[0D]
842,10586498400.00,[0A]
843,10586769200.00,D
844,10586856000.00,E
845,10586942600.00,B
846,10587029400.00,U
847,10587116000.00,G
848,10587202600.00,:
849,10587289400.00,[20]
850,10587376000.00,U
851,10587462800.00,s
852,10587549400.00,e
853,10587636000.00,[20]
854,10587722800.00,f
855,10587809400.00,d
856,10587896000.00,t
857,10587982800.00,[20]
858,10588069400.00,b
859,10588156200.00,o
860,10588242800.00,o
861,10588329400.00,t
862,10588416200.00,d
863,10588502800.00,e
864,10588589400.00,l
865,10588676200.00,a
866,10588762800.00,y
867,10588849600.00,[20]
868,10588936200.00,=
869,10589022800.00,[20]
870,10589109600.00,0
871,10589196200.00,[0D]
872,10589283000.00,[0A]
873,10589887000.00,D
874,10589973600.00,E
875,10590060200.00,B
876,10590147000.00,U
877,10590233600.00,G
878,10590320400.00,:
879,10590407000.00,[20]
880,10590493600.00,A
881,10590580400.00,c
882,10590667000.00,t
883,10590753800.00,u
884,10590840400.00,a
885,10590927000.00,l
886,10591013800.00,[20]
887,10591100400.00,b
888,10591187000.00,o
889,10591273800.00,o
890,10591360400.00,t
891,10591447200.00,d
892,10591533800.00,e
893,10591620400.00,l
894,10591707200.00,a
895,10591793800.00,y
896,10591880400.00,[20]
897,10591967200.00,=
898,10592053800.00,[20]
899,10592140600.00,0
900,10592227200.00,[0D]
901,10592313800.00,[0A]
902,10592917400.00,D
903,10593004000.00,E
904,10593090800.00,B
905,10593177400.00,U
906,10593264000.00,G
907,10593350800.00,:
908,10593437400.00,[20]
909,10593524200.00,C
910,10593610800.00,a
911,10593697400.00,l
912,10593784200.00,l
913,10593870800.00,[20]
914,10593957400.00,a
915,10594044200.00,u
916,10594130800.00,t
917,10594217600.00,o
918,10594304200.00,b
919,10594390800.00,o
920,10594477600.00,o
921,10594564200.00,t
922,10594650800.00,_
923,10594737600.00,c
924,10594824200.00,o
925,10594911000.00,m
926,10594997600.00,m
927,10595084200.00,a
928,10595171000.00,n
929,10595257600.00,d
930,10595344400.00,(
931,10595431000.00,)
932,10595517600.00,,
933,10595604400.00,[20]
934,10595691000.00,a
935,10595777600.00,r
936,10595864400.00,g
937,10595951000.00,[20]
938,10596037800.00,=
939,10596124400.00,[20]
940,10596211000.00,r
941,10596297800.00,u
942,10596384400.00,n
943,10596471200.00,[20]
944,10596557800.00,d
945,10596644400.00,i
946,10596731200.00,s
947,10596817800.00,t
948,10596904400.00,r
949,10596991200.00,o
950,10597077800.00,_
951,10597164600.00,b
952,10597251200.00,o
953,10597337800.00,o
954,10597424600.00,t
955,10597511200.00,c
956,10597597800.00,m
957,10597684600.00,d
958,10597771200.00,[0D]
959,10597858000.00,[0A]
960,10597944600.00,H
961,10598031200.00,i
962,10598118000.00,t
963,10598204600.00,[20]
964,10598291400.00,a
965,10598378000.00,n
966,10598464600.00,y
967,10598551400.00,[20]
968,10598638000.00,k
969,10598724600.00,e
970,10598811400.00,y
971,10598898000.00,[20]
972,10598984800.00,t
973,10599071400.00,o
974,10599158000.00,[20]
975,10599244800.00,s
