; CSV, generated by libsigrok4DSL 0.2.0 on Sun May 11 19:32:02 2025
; Channels (16/16)
; Sample rate: 5 MHz
; Sample count: 407.390720 M Samples
Time(s), 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
7.4935082,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4935168,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4935342,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4935428,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4935516,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.4935602,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.4935948,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.513023,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5130316,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.513049,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5130662,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.513075,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5130836,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5130922,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.513101,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5131096,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5131356,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5131442,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.513153,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.513179,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5131876,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5131962,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.513205,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5132396,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5132482,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5132656,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5132742,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.513283,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5133262,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5133522,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.513361,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5133696,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.513413,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.513439,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5134476,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5134564,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.513465,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5134736,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.513491,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5134996,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5135084,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5135256,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5135344,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.513543,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5135604,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5135864,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.513595,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5136124,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.513621,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5136296,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5136384,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5136644,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5136816,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.513699,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5137076,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5137164,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5137684,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.513777,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5137944,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.513803,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5138116,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5138204,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.513829,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5138464,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.513855,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5138724,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.513881,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.5138896,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5138984,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
7.513933,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0
7.5139416,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
